"","X","Country","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
"1",1,"Norway",0.635422587394714,2017,1,7.53700017929077,1.61646318435669,0.796666502952576,0.315963834524155
"2",2,"Denmark",0.626006722450256,2017,2,7.52199983596802,1.48238301277161,0.792565524578094,0.40077006816864
"3",3,"Iceland",0.627162635326385,2017,3,7.50400018692017,1.480633020401,0.833552122116089,0.153526559472084
"4",4,"Switzerland",0.620070576667786,2017,4,7.49399995803833,1.56497955322266,0.858131289482117,0.367007285356522
"5",5,"Finland",0.617950856685638,2017,5,7.4689998626709,1.44357192516327,0.80915766954422,0.38261154294014
"6",6,"Netherlands",0.585384488105774,2017,6,7.3769998550415,1.50394463539124,0.810696125030518,0.282661825418472
"7",7,"Canada",0.611100912094116,2017,7,7.31599998474121,1.47920441627502,0.83455765247345,0.287371516227722
"8",8,"New Zealand",0.614062130451202,2017,8,7.31400012969971,1.40570604801178,0.816759705543518,0.382816702127457
"9",9,"Sweden",0.612924098968506,2017,9,7.28399991989136,1.49438726902008,0.830875158309937,0.384398728609085
"10",10,"Australia",0.601607382297516,2017,10,7.28399991989136,1.484414935112,0.84388679265976,0.301183730363846
"11",11,"Israel",0.405988603830338,2017,11,7.21299982070923,1.37538242340088,0.83840399980545,0.0852421000599861
"12",12,"Costa Rica",0.580131649971008,2017,12,7.0789999961853,1.10970628261566,0.759509265422821,0.100106589496136
"13",13,"Austria",0.567766189575195,2017,13,7.00600004196167,1.48709726333618,0.815328419208527,0.221060365438461
"14",14,"United States",0.505740523338318,2017,14,6.99300003051758,1.54625928401947,0.77428662776947,0.135638788342476
"15",15,"Ireland",0.573110342025757,2017,15,6.97700023651123,1.53570663928986,0.80978262424469,0.29838815331459
"16",16,"Germany",0.562511384487152,2017,16,6.95100021362305,1.48792338371277,0.798950731754303,0.276731938123703
"17",17,"Belgium",0.539770722389221,2017,17,6.89099979400635,1.46378076076508,0.818091869354248,0.251343131065369
"18",18,"Luxembourg",0.59662789106369,2017,18,6.86299991607666,1.74194359779358,0.845089495182037,0.31883442401886
"19",19,"United Kingdom",0.508190035820007,2017,19,6.71400022506714,1.44163393974304,0.805335938930511,0.265428066253662
"20",20,"Chile",0.376895278692245,2017,20,6.65199995040894,1.25278460979462,0.819479703903198,0.0822879821062088
"21",21,"United Arab Emirates",0.60834527015686,2017,21,6.64799976348877,1.62634336948395,0.726798236370087,0.324489563703537
"22",22,"Brazil",0.437453746795654,2017,22,6.63500022888184,1.10735321044922,0.616552352905273,0.111092761158943
"23",23,"Czech Republic",0.490946173667908,2017,23,6.60900020599365,1.35268235206604,0.754444003105164,0.0368729270994663
"24",24,"Argentina",0.494519203901291,2017,24,6.59899997711182,1.18529546260834,0.695137083530426,0.059739887714386
"25",25,"Mexico",0.412730008363724,2017,25,6.57800006866455,1.15318381786346,0.709978997707367,0.132774114608765
